"beatmapset_id","beatmap_id","hit_length","diff_size","diff_overall","diff_approach","diff_drain","max_combo","difficultyrating","bpm","favourite_count","approved_ranked","genre_anime","genre_pop","language_japanese","playcount_per_day"
701681,1529054,215,3,3,5,3,511,1.52350199222565,115,0,0,0,0,0,1.8
693750,1475927,224,3.1,2,3,2,684,1.49045360088348,182,21,0,0,0,1,2.25
701681,1517442,215,3.5,5,6.5,4,653,2.592209815979,115,0,0,0,0,0,5.4
734190,1569780,109,3.5,4,5,4,412,2.32053518295288,210,12,0,0,0,0,6.75
734190,1603225,113,2.8,2,3,3,323,1.65962719917297,210,12,0,0,0,0,6.75
693750,1468455,225,3,4,5,3,892,2.18307566642761,182,21,0,0,0,1,6.75
708148,1576393,173,2.5,3,3,3,284,1.50169932842255,78,1,0,0,0,0,9
676178,1442134,32,3,2,3,3,97,1.4772435426712,171,0,0,1,0,0,7.2
676178,1448179,32,3.5,4,5,4,120,2.06656646728516,171,0,0,1,0,0,7.2
545150,1585607,232,3,3,3,2,556,1.527960896492,160,2,0,0,0,1,9
742085,1566726,102,3,4,5.5,3,352,1.87214827537537,155,3,0,0,0,1,12
594067,1396904,113,3,2,3,2,318,1.5405478477478,178,22,0,0,1,1,9
693750,1493107,211,4,5,7,5,1096,2.97980523109436,182,21,0,0,0,1,11.25
737103,1572025,235,3,3,3,3,386,1.28985226154327,108,16,0,1,0,1,10.8
545150,1603069,231,3.5,6,6,4,757,2.17857193946838,160,2,0,0,0,1,13.5
693750,1484413,211,4.3,7,8,6,1145,3.82010102272034,182,21,0,0,0,1,13.5
703515,1488391,320,4,7,8,4,1411,3.48099422454834,126,2,0,0,0,1,15.75
586296,1241714,89,4,6.5,7.5,5.5,398,3.18178725242615,153,21,0,1,0,1,15.75
693750,1479714,228,4.5,9,9,7.5,1271,5.86235761642456,182,21,0,0,0,1,15.75
742085,1585599,102,3.5,6,7.5,6,562,2.99986124038696,155,3,0,0,0,1,21
742085,1589985,102,3,2,3,2,278,1.72224164009094,155,3,0,0,0,1,21
705769,1506923,116,3.6,5,5.5,4,418,2.45373225212097,96,12,0,0,0,0,24
735328,1552381,151,3,4,5,4,378,1.76499259471893,108,6,0,1,0,1,16.2
701681,1484970,214,4,7,8,7,889,3.56524753570557,115,0,0,0,0,0,18
734190,1575929,128,4,8,9.4,6,1031,5.53753471374512,210,12,0,0,0,0,22.5
545150,1260366,238,4.2,7.6,8,4,1071,3.21676778793335,160,2,0,0,0,1,24.75
734190,1562549,127,5,8.5,9.5,6,829,5.58462858200073,210,12,0,0,0,0,24.75
705769,1500649,116,3.3,3,2,2,314,1.9223085641861,96,12,0,0,0,0,33
676178,1445118,32,3.5,6,7,5,155,3.19075107574463,171,0,0,1,0,0,21.6
735328,1552422,151,3,1,1,2,258,1.04039251804352,108,6,0,1,0,1,21.6
734190,1562547,101,4,8.6,9.6,6,823,5.72436904907227,210,12,0,0,0,0,27
708148,1497219,175,4,6,6,6,458,2.38600897789001,78,1,0,0,0,0,36
737103,1577637,222,4,5,6.5,5,701,2.4975802898407,108,16,0,1,0,1,25.2
705769,1528926,117,3.6,6,8,5,575,3.07882237434387,96,12,0,0,0,0,42
536219,1138411,93,3,4,4,2,237,1.56738197803497,160,14,0,1,0,1,36
734190,1562546,115,4.5,9,9.6,6,968,5.65554904937744,210,12,0,0,0,0,36
594067,1565677,112,4.3,8.5,9.2,6,620,5.40467929840088,178,22,0,0,1,1,30.6
737103,1572026,234,4,4,5,4,594,1.83749425411224,108,16,0,1,0,1,30.6
693750,1485831,228,4,8.4,9,4,1406,5.4918065071106,182,21,0,0,0,1,38.25
430693,929297,113,3.5,6,7,5,534,3.28251028060913,170,12,0,0,0,1,38.25
586296,1241712,89,3.5,3,4.5,3,249,1.68288350105286,153,21,0,1,0,1,40.5
705769,1493143,118,3,8,9,7,722,5.34043741226196,96,12,0,0,0,0,54
687129,1454084,85,2.8,4,5,4,336,1.99295747280121,259,31,0,0,0,0,34.2
